	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
426	SRR7970306	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
427	SRR7970307	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
428	SRR7970308	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
429	SRR7970309	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
430	SRR7970310	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
431	SRR7970311	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
432	SRR7970312	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
433	SRR7970313	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
434	SRR7970314	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
435	SRR7970315	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
436	SRR7970316	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
437	SRR7970317	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
438	SRR7970318	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
439	SRR7970319	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
440	SRR7970320	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
441	SRR7970321	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
442	SRR7970322	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
443	SRR7970323	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
444	SRR7970324	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
445	SRR7970325	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
446	SRR7970326	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
447	SRR7970327	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
448	SRR7970328	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
449	SRR7970329	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
450	SRR7970330	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
451	SRR7970331	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
452	SRR7970332	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
453	SRR7970333	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
454	SRR7970334	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
455	SRR7970335	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
456	SRR7970336	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
457	SRR7970337	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
458	SRR7970338	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
459	SRR7970339	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
460	SRR7970340	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
